t,cmd_left,cmd_right,Tu,Tr,u,v,r
288.3333333333333,0.3667,0.4333,32.78069466642583,1.3831190182842192,0.8715244569755668,0.6757628670769158,-0.894880860809939
288.3666666666667,0.3333,0.4667,33.37017879472675,2.764858358596738,0.8720642606215242,0.6452983915112351,-0.7659229581624526
288.4,0.3,0.5,34.33668095595582,4.131581031890573,0.8760973057321417,0.6123337071385402,-0.6292086086963109
288.43333333333334,0.2667,0.5333,35.66217886167396,5.482378821787641,0.8839176801322052,0.5768388566968011,-0.4841896709591109
288.46666666666664,0.2333,0.5667,37.32638210209518,6.8165641127440555,0.8957387456191057,0.5386751015845048,-0.3297781461799103
288.5,0.2,0.6,39.288003112390996,8.121984309686718,0.9116928970278585,0.49756143166231065,-0.16426565889898373
288.5333333333333,0.1667,0.6333,41.5160191425547,9.399056098310568,0.931796649631696,0.4530453276512178,0.014471206928131197
288.56666666666666,0.1333,0.6667,43.97964606914165,10.648413038970563,0.9559501108590748,0.40450169178849144,0.20654210110525714
288.6,0.1,0.7,46.623973020707595,11.860046223950441,0.9838636736435394,0.3514098619545125,0.40401194859222783
288.6333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.015004823264699,0.2935688479077684,0.5989324500624887
288.6666666666667,0.1,0.7,46.623973020707595,11.860046223950441,1.0444842662187621,0.23206769722894224,0.750398454872094
288.7,0.1,0.7,46.623973020707595,11.860046223950441,1.0716376607992562,0.1687451552617294,0.8691903962063764
288.73333333333335,0.1,0.7,46.623973020707595,11.860046223950441,1.0960665954347966,0.10495235159136698,0.9646132922245134
288.76666666666665,0.1,0.7,46.623973020707595,11.860046223950441,1.117569860323188,0.041630897256558705,1.0438157496313374
288.8,0.1,0.7,46.623973020707595,11.860046223950441,1.1360806131683232,-0.020587840555805086,1.1118821014169546
288.8333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.1516191053578948,-0.08127977281411777,1.1722250698533385
288.8666666666667,0.1,0.7,46.623973020707595,11.860046223950441,1.1642611579899604,-0.14014939659226008,1.2270211950823475
288.9,0.1,0.7,46.623973020707595,11.860046223950441,1.1741182756648614,-0.19699332027179725,1.2775901837167978
288.93333333333334,0.1,0.7,46.623973020707595,11.860046223950441,1.1813255529963835,-0.2516644321251027,1.3246877720501773
288.96666666666664,0.1,0.7,46.623973020707595,11.860046223950441,1.1860345393083593,-0.3040484312856454,1.3687149864352433
289.0,0.1,0.7,46.623973020707595,11.860046223950441,1.1884089261710835,-0.35405040753954065,1.4098610605602593
289.0333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.1886216979478774,-0.40158825531715014,1.4481977916568558
289.06666666666666,0.1,0.7,46.623973020707595,11.860046223950441,1.1868529425235157,-0.4465904402369699,1.4837400391179825
289.1,0.1,0.7,46.623973020707595,11.860046223950441,1.1832878856749383,-0.4889963101107728,1.5164833608152692
