t,cmd_left,cmd_right
17.0000,0.8000,0.8000
17.0333,0.8000,0.8000
17.0667,0.8000,0.8000
17.1000,0.8000,0.8000
17.1333,0.8000,0.8000
17.1667,0.8000,0.8000
17.2000,0.8000,0.8000
17.2333,0.8000,0.8000
17.2667,0.8000,0.8000
17.3000,0.8000,0.8000
17.3333,0.8000,0.8000
17.3667,0.8000,0.8000
17.4000,0.8000,0.8000
17.4333,0.8000,0.8000
17.4667,0.8000,0.8000
17.5000,0.8000,0.8000
17.5333,0.8000,0.8000
17.5667,0.8000,0.8000
17.6000,0.8000,0.8000
17.6333,0.8000,0.8000
17.6667,0.8000,0.8000
17.7000,0.8000,0.8000
17.7333,0.8000,0.8000
17.7667,0.8000,0.8000
17.8000,0.8000,0.8000
17.8333,0.8000,0.8000
17.8667,0.8000,0.8000
17.9000,0.8000,0.8000
17.9333,0.8000,0.8000
17.9667,0.8000,0.8000
18.0000,0.8000,0.8000
18.0333,0.8000,0.8000
18.0667,0.8000,0.8000
18.1000,0.8000,0.8000
18.1333,0.8000,0.8000
18.1667,0.8000,0.8000
18.2000,0.8000,0.8000
18.2333,0.8000,0.8000
18.2667,0.8000,0.8000
18.3000,0.8000,0.8000
18.3333,0.8000,0.8000
18.3667,0.8000,0.8000
18.4000,0.8000,0.8000
18.4333,0.8000,0.8000
18.4667,0.8000,0.8000
18.5000,0.8000,0.8000
18.5333,0.8000,0.8000
18.5667,0.8000,0.8000
18.6000,0.8000,0.8000
18.6333,0.8000,0.8000
18.6667,0.8000,0.8000
18.7000,0.8000,0.8000
18.7333,0.8000,0.8000
18.7667,0.8000,0.8000
18.8000,0.8000,0.8000
18.8333,0.8000,0.8000
18.8667,0.8000,0.8000
18.9000,0.8000,0.8000
18.9333,0.8000,0.8000
18.9667,0.8000,0.8000
19.0000,0.8000,0.8000
19.0333,0.8000,0.8000
19.0667,0.8000,0.8000
19.1000,0.8000,0.8000
19.1333,0.8000,0.8000
19.1667,0.8000,0.8000
19.2000,0.8000,0.8000
19.2333,0.8000,0.8000
19.2667,0.8000,0.8000
19.3000,0.8000,0.8000
19.3333,0.8000,0.8000
19.3667,0.8000,0.8000
19.4000,0.8000,0.8000
19.4333,0.8000,0.8000
19.4667,0.8000,0.8000
19.5000,0.8000,0.8000
19.5333,0.8000,0.8000
19.5667,0.8000,0.8000
19.6000,0.8000,0.8000
19.6333,0.8000,0.8000
19.6667,0.8000,0.8000
19.7000,0.8000,0.8000
19.7333,0.8000,0.8000
19.7667,0.8000,0.8000
19.8000,0.8000,0.8000
19.8333,0.8000,0.8000
19.8667,0.8000,0.8000
19.9000,0.8000,0.8000
19.9333,0.8000,0.8000
19.9667,0.8000,0.8000
20.0000,0.8000,0.8000
20.0333,0.8000,0.8000
20.0667,0.8000,0.8000
20.1000,0.8000,0.8000
20.1333,0.8000,0.8000
20.1667,0.8000,0.8000
20.2000,0.8000,0.8000
20.2333,0.8000,0.8000
20.2667,0.8000,0.8000
20.3000,0.8000,0.8000
20.3333,0.8000,0.8000
20.3667,0.8000,0.8000
20.4000,0.8000,0.8000
20.4333,0.8000,0.8000
20.4667,0.8000,0.8000
20.5000,0.8000,0.8000
20.5333,0.8000,0.8000
20.5667,0.8000,0.8000
20.6000,0.8000,0.8000
20.6333,0.8000,0.8000
20.6667,0.8000,0.8000
20.7000,0.8000,0.8000
20.7333,0.8000,0.8000
20.7667,0.8000,0.8000
20.8000,0.8000,0.8000
20.8333,0.8000,0.8000
20.8667,0.8000,0.8000
20.9000,0.8000,0.8000
20.9333,0.8000,0.8000
20.9667,0.8000,0.8000
21.0000,0.8000,0.8000
21.0333,0.8000,0.8000
21.0667,0.8000,0.8000
21.1000,0.8000,0.8000
21.1333,0.8000,0.8000
21.1667,0.8000,0.8000
21.2000,0.8000,0.8000
21.2333,0.8000,0.8000
21.2667,0.8000,0.8000
21.3000,0.8000,0.8000
21.3333,0.8000,0.8000
21.3667,0.8000,0.8000
21.4000,0.8000,0.8000
21.4333,0.8000,0.8000
21.4667,0.8000,0.8000
21.5000,0.8000,0.8000
21.5333,0.8000,0.8000
21.5667,0.8000,0.8000
21.6000,0.8000,0.8000
21.6333,0.8000,0.8000
21.6667,0.8000,0.8000
21.7000,0.6750,0.6750
21.7333,0.5500,0.5500
21.7667,0.4250,0.4250
21.8000,0.3000,0.3000
21.8333,0.1750,0.1750
21.8667,0.0500,0.0500
21.9000,-0.0750,-0.0750
21.9333,-0.2000,-0.2000
21.9667,-0.3250,-0.3250
22.0000,-0.4500,-0.4500
22.0333,-0.4500,-0.4500
22.0667,-0.4500,-0.4500
22.1000,-0.4500,-0.4500
22.1333,-0.4500,-0.4500
22.1667,-0.4500,-0.4500
22.2000,-0.4500,-0.4500
22.2333,-0.4500,-0.4500
22.2667,-0.4500,-0.4500
22.3000,-0.4500,-0.4500
22.3333,-0.4500,-0.4500
22.3667,-0.4500,-0.4500
22.4000,-0.4500,-0.4500
22.4333,-0.4500,-0.4500
22.4667,-0.4500,-0.4500
22.5000,-0.4500,-0.4500
22.5333,-0.4500,-0.4500
22.5667,-0.4500,-0.4500
22.6000,-0.4500,-0.4500
22.6333,-0.4500,-0.4500
22.6667,-0.4500,-0.4500
22.7000,-0.4500,-0.4500
22.7333,-0.4500,-0.4500
22.7667,-0.4500,-0.4500
22.8000,-0.4500,-0.4500
22.8333,-0.4500,-0.4500
22.8667,-0.4500,-0.4500
22.9000,-0.4500,-0.4500
22.9333,-0.4500,-0.4500
22.9667,-0.4500,-0.4500
23.0000,-0.4500,-0.4500
23.0333,-0.4500,-0.4500
23.0667,-0.4500,-0.4500
23.1000,-0.4500,-0.4500
23.1333,-0.4500,-0.4500
23.1667,-0.4500,-0.4500
23.2000,-0.4500,-0.4500
23.2333,-0.4500,-0.4500
23.2667,-0.4500,-0.4500
23.3000,-0.4500,-0.4500
23.3333,-0.4500,-0.4500
23.3667,-0.4500,-0.4500
23.4000,-0.4500,-0.4500
23.4333,-0.4500,-0.4500
23.4667,-0.4500,-0.4500
23.5000,-0.4500,-0.4500
23.5333,-0.4500,-0.4500
23.5667,-0.4500,-0.4500
23.6000,-0.4500,-0.4500
23.6333,-0.4500,-0.4500
23.6667,-0.4500,-0.4500
23.7000,-0.4500,-0.4500
23.7333,-0.4500,-0.4500
23.7667,-0.4500,-0.4500
23.8000,-0.4500,-0.4500
23.8333,-0.4500,-0.4500
23.8667,-0.4500,-0.4500
23.9000,-0.4500,-0.4500
23.9333,-0.4500,-0.4500
23.9667,-0.4500,-0.4500
24.0000,-0.4500,-0.4500
24.0333,-0.4500,-0.4500
24.0667,-0.4500,-0.4500
24.1000,-0.4500,-0.4500
24.1333,-0.4500,-0.4500
24.1667,-0.4500,-0.4500
24.2000,-0.4500,-0.4500
24.2333,-0.4500,-0.4500
24.2667,-0.4500,-0.4500
24.3000,-0.4500,-0.4500
24.3333,-0.4500,-0.4500
24.3667,-0.4500,-0.4500
24.4000,-0.4500,-0.4500
24.4333,-0.4500,-0.4500
24.4667,-0.4500,-0.4500
24.5000,-0.4500,-0.4500
24.5333,-0.4500,-0.4500
24.5667,-0.4500,-0.4500
24.6000,-0.4500,-0.4500
24.6333,-0.4500,-0.4500
24.6667,-0.4500,-0.4500
24.7000,-0.4500,-0.4500
24.7333,-0.4500,-0.4500
24.7667,-0.4500,-0.4500
24.8000,-0.4500,-0.4500
24.8333,-0.4500,-0.4500
24.8667,-0.4500,-0.4500
24.9000,-0.4500,-0.4500
24.9333,-0.4500,-0.4500
24.9667,-0.4500,-0.4500
25.0000,-0.4500,-0.4500
25.0333,-0.4500,-0.4500
25.0667,-0.4500,-0.4500
25.1000,-0.4500,-0.4500
25.1333,-0.4500,-0.4500
25.1667,-0.4500,-0.4500
25.2000,-0.4500,-0.4500
25.2333,-0.4500,-0.4500
25.2667,-0.4500,-0.4500
25.3000,-0.4500,-0.4500
25.3333,-0.4500,-0.4500
25.3667,-0.4500,-0.4500
25.4000,-0.4500,-0.4500
25.4333,-0.4500,-0.4500
25.4667,-0.4500,-0.4500
25.5000,-0.4500,-0.4500
25.5333,-0.4500,-0.4500
25.5667,-0.4500,-0.4500
25.6000,-0.4500,-0.4500
25.6333,-0.4500,-0.4500
25.6667,-0.4500,-0.4500
25.7000,-0.4500,-0.4500
25.7333,-0.4500,-0.4500
25.7667,-0.4500,-0.4500
25.8000,-0.4500,-0.4500
25.8333,-0.4500,-0.4500
25.8667,-0.4500,-0.4500
25.9000,-0.4500,-0.4500
25.9333,-0.4500,-0.4500
25.9667,-0.4500,-0.4500
26.0000,-0.4500,-0.4500
26.0333,-0.4500,-0.4500
26.0667,-0.4500,-0.4500
26.1000,-0.4500,-0.4500
26.1333,-0.4500,-0.4500
26.1667,-0.4500,-0.4500
26.2000,-0.4500,-0.4500
26.2333,-0.4500,-0.4500
26.2667,-0.4500,-0.4500
26.3000,-0.4500,-0.4500
26.3333,-0.4500,-0.4500
26.3667,-0.4500,-0.4500
26.4000,-0.4500,-0.4500
26.4333,-0.4500,-0.4500
26.4667,-0.4500,-0.4500
26.5000,-0.4500,-0.4500
26.5333,-0.4500,-0.4500
26.5667,-0.4500,-0.4500
26.6000,-0.4500,-0.4500
26.6333,-0.4500,-0.4500
26.6667,-0.4500,-0.4500
26.7000,-0.4500,-0.4500
26.7333,-0.4500,-0.4500
26.7667,-0.4500,-0.4500
26.8000,-0.4500,-0.4500
26.8333,-0.4500,-0.4500
26.8667,-0.4500,-0.4500
26.9000,-0.4500,-0.4500
26.9333,-0.4500,-0.4500
26.9667,-0.4500,-0.4500
27.0000,-0.4500,-0.4500
27.0333,-0.4500,-0.4500
27.0667,-0.4500,-0.4500
27.1000,-0.4500,-0.4500
27.1333,-0.4500,-0.4500
27.1667,-0.4500,-0.4500
27.2000,-0.4500,-0.4500
27.2333,-0.4500,-0.4500
27.2667,-0.4500,-0.4500
27.3000,-0.4500,-0.4500
27.3333,-0.4500,-0.4500
27.3667,-0.4500,-0.4500
27.4000,-0.4500,-0.4500
27.4333,-0.4500,-0.4500
27.4667,-0.4500,-0.4500
27.5000,-0.4500,-0.4500
27.5333,-0.4500,-0.4500
27.5667,-0.4500,-0.4500
27.6000,-0.4500,-0.4500
27.6333,-0.4500,-0.4500
27.6667,-0.4500,-0.4500
27.7000,-0.4500,-0.4500
27.7333,-0.4500,-0.4500
27.7667,-0.4500,-0.4500
27.8000,-0.4500,-0.4500
27.8333,-0.4500,-0.4500
27.8667,-0.4500,-0.4500
27.9000,-0.4500,-0.4500
27.9333,-0.4500,-0.4500
27.9667,-0.4500,-0.4500
28.0000,-0.4500,-0.4500
28.0333,-0.4500,-0.4500
28.0667,-0.4500,-0.4500
28.1000,-0.4500,-0.4500
28.1333,-0.4500,-0.4500
28.1667,-0.4500,-0.4500
28.2000,-0.4500,-0.4500
